message,description,id,page_id,full_text,locations
"The Vietnamese certainly know a thing or two about winning over one's tummy. Simple yet mouthwatering cuisines using only the freshest local ingredients is their forte. Best part of all? These dishes cost next to nothing so eat up while you are there!

Get your Vietnam trip planned now for FREE with Local Travel Experts at Tripviss.com – https://goo.gl/yLOY5h

For more Vietnam itineraries, check out here https://goo.gl/0wpCYD",,1647170365552546_1851050325164548,Tripviss,"The Vietnamese certainly know a thing or two about winning over one's tummy. Simple yet mouthwatering cuisines using only the freshest local ingredients is their forte. Best part of all? These dishes cost next to nothing so eat up while you are there!

Get your Vietnam trip planned now for FREE with Local Travel Experts at    

For more Vietnam itineraries, check out here   ",Vietnam
Is travelling more in your list of 'New Year Resolutions'? Try out these hashtags and flaunt your adventures to the world!,,1647170365552546_1850181425251438,Tripviss,Is travelling more in your list of 'New Year Resolutions'? Try out these hashtags and flaunt your adventures to the world! ,
"Home to unique culture and framed with beautiful landscape and Mother Nature, Sri Lanka is a country you do not want to miss! Unfold the beauty of nature in Royal Botanical Gardens as well as trumpet your way down to Pinnawala Elephant Orphanage. You can also head over to the Turtle Hatchery in Kosgoda and watch as the baby turtles return to the water.

Plan your trip to Sri Lanka at https://goo.gl/4KnPpi
Or check out our handcrafted itinerary for Sri Lanka from RM982/pax – https://goo.gl/qwgX10

Our top 5 recommended trips to Sri Lanka: 
3D2N Experience The Stunning View in Pinnawala and Nuwara Eliya Tour – https://goo.gl/F44l6b
6D5N Sigiriya and Kandy Adventure Tour – https://goo.gl/bWpclw
7D6N 'Seeing Is Believing' Best of Sri Lanka Tour – https://goo.gl/CNm1At
9D8N Hill and Chill Tour – https://goo.gl/SZ0KFc
14D13N Scenic Beauty of East and South Sri Lanka Tour – https://goo.gl/jVO2UF

Travel with Tripviss
✔️ Private Tours with Local Tour Experts
✔️ 100% Customizable Itinerary
✔️ Flexible Prices
✔️ Save more up to 30% with Middleman-free prices",,1647170365552546_1849779778624936,Tripviss,"Home to unique culture and framed with beautiful landscape and Mother Nature, Sri Lanka is a country you do not want to miss! Unfold the beauty of nature in Royal Botanical Gardens as well as trumpet your way down to Pinnawala Elephant Orphanage. You can also head over to the Turtle Hatchery in Kosgoda and watch as the baby turtles return to the water.

Plan your trip to Sri Lanka at  
Or check out our handcrafted itinerary for Sri Lanka from RM982/pax   

Our top 5 recommended trips to Sri Lanka: 
3D2N Experience The Stunning View in Pinnawala and Nuwara Eliya Tour   
6D5N Sigiriya and Kandy Adventure Tour   
7D6N 'Seeing Is Believing' Best of Sri Lanka Tour   
9D8N Hill and Chill Tour   
14D13N Scenic Beauty of East and South Sri Lanka Tour   

Travel with Tripviss
 Private Tours with Local Tour Experts
 100% Customizable Itinerary
 Flexible Prices
 Save more up to 30% with Middleman-free prices ",Sri Lanka$$Kosgoda$$Royal Botanical Gardens$$Pinnawala
"Want to win a FREE TRIP to Boracay Island for 4D3N? Tripviss wants to send a lucky winner on a FREE trip for 2, worth RM 5,000!

FINAL CHANCE TO WIN A FREE TRIP 【Ends 28th Feb】

JOIN NOW to stand a chance:
Step 1: Like this giveaway post and our Facebook page
Step 2: Sign up to win ➔ https://goo.gl/orWZgm
Step3: “Share” this giveaway post on your timeline (privacy settings: Public)

Don't miss your chance for a trip to Boracay inclusive of:
✔ 4 Days 3 Nights Accommodation: At Boracay Ocean ClubBeach Resort (with 3-DAY Breakfasts INCLUDED).

✔ Exciting Island Hopping Tour: Leisure time at Puka Beach,cove adventures at Crystal Cove,fish feeding and lunch.

✔ 3 ThrillingWater Sports: Experience parasailing,banana boat & sunset sailing, at the beautiful Boracay Island.

Terms & Conditions Apply.",,1647170365552546_1849776145291966,Tripviss,"Want to win a FREE TRIP to Boracay Island for 4D3N? Tripviss wants to send a lucky winner on a FREE trip for 2, worth RM 5,000!

FINAL CHANCE TO WIN A FREE TRIP Ends 28th Feb

JOIN NOW to stand a chance:
Step 1: Like this giveaway post and our Facebook page
Step 2: Sign up to win   
Step3: Share this giveaway post on your timeline (privacy settings: Public)

Don't miss your chance for a trip to Boracay inclusive of:
 4 Days 3 Nights Accommodation: At Boracay Ocean ClubBeach Resort (with 3-DAY Breakfasts INCLUDED).

 Exciting Island Hopping Tour: Leisure time at Puka Beach,cove adventures at Crystal Cove,fish feeding and lunch.

 3 ThrillingWater Sports: Experience parasailing,banana boat & sunset sailing, at the beautiful Boracay Island.

Terms & Conditions Apply. ",Crystal Cove$$Boracay Island$$Boracay$$Boracay Ocean ClubBeach Resort$$Puka Beach
"Night Market Hopping in Bangkok – 『必收藏的5大泰國夜市！』

泰國和台灣一樣，夜市是必去的景點。可是曼谷夜市那麼多（真的很多），該怎麼選？所以Tripviss推薦了5大夜市 讓大家直接去 無需想！

马上游览tripviss.com规划您曼谷之旅！– https://goo.gl/U6Ry7u
更多曼谷特制行程 – https://goo.gl/rfiZyD
【超值推荐】曼谷包车一日游，一人RM44起! – https://goo.gl/wYX6fp

Bangkok - always not enough time to explore and experience everything! BUT it's OK because a visit to the best night markets in Bangkok is the easiest way to blend into the local life in Thailand's capital.

Head over to tripviss.com and personalise your trip to Bangkok now! – https://goo.gl/mXBrqq
For more Bangkok Exciting Itineraries – https://goo.gl/nQkPTP",,1647170365552546_1847626802173567,Tripviss,"Night Market Hopping in Bangkok  5

Tripviss5  

   
   
RM44!   

Bangkok - always not enough time to explore and experience everything! BUT it's OK because a visit to the best night markets in Bangkok is the easiest way to blend into the local life in Thailand's capital.

Head over to   personalise your trip to Bangkok now!   
For more Bangkok Exciting Itineraries    ",Thailand$$Bangkok
"Why take boring selfies when you can take pictures like these? Here are some creative ways to capture Instagrammable pictures for your next big adventure! Don't forget to bring your selfie stick along!

Your travel, your way – Tripviss.com",,1647170365552546_1846233905646190,Tripviss,"Why take boring selfies when you can take pictures like these? Here are some creative ways to capture Instagrammable pictures for your next big adventure! Don't forget to bring your selfie stick along!

Your travel, your way    ",
"Are you an adrenaline junkie? Do you love the sudden rush of excitement? Here are some of the most thrilling rides in the world that are sure to make you weak in your knees. 
You know what they say; ‘when something scares you, it means it’s worth doing’.",,1647170365552546_1843202025949378,Tripviss,"Are you an adrenaline junkie? Do you love the sudden rush of excitement? Here are some of the most thrilling rides in the world that are sure to make you weak in your knees. 
You know what they say; when something scares you, it means its worth doing. ",
"Bhutan is a country boasting of unique culture and tradition. The Bhutanese have preserved their accustomed way of living, away from globalisation, unlike the rest of the world. Do expect an exclusive experience while uncovering the secrets of ‘the happiest country on earth’.

Mark your calendar and get your trip to Bhutan now with Tripviss at https://goo.gl/pEOEY3, starting from RM 2,585.

Check out our most popular itineraries to Bhutan:
4D3N Quick Glimpse of Bhutan – https://goo.gl/pBF0hJ
5D4N Enchanting Bhutan – https://goo.gl/yy8d4h
7D6N Lose yourself in the Last Shangri-la  – https://goo.gl/yy8d4h
9D8N Bhutan Trip with Paro Tsechu festival – https://goo.gl/itQ4RU
8D7N Itinerary With Druk Path Trek – https://goo.gl/U5fIUs
7D6N Unforgettable Bhutan Trip – https://goo.gl/qPBI4z

✔ Private Trip with Local Travel Experts 
✔ Fully Customisable Itinerary 
✔ Flexible Budget
✔ Save more with Middleman-free prices",,1647170365552546_1842175592718688,Tripviss,"Bhutan is a country boasting of unique culture and tradition. The Bhutanese have preserved their accustomed way of living, away from globalisation, unlike the rest of the world. Do expect an exclusive experience while uncovering the secrets of the happiest country on earth.

Mark your calendar and get your trip to Bhutan now with Tripviss at   starting from RM 2,585.

Check out our most popular itineraries to Bhutan:
4D3N Quick Glimpse of Bhutan   
5D4N Enchanting Bhutan   
7D6N Lose yourself in the Last Shangri-la    
9D8N Bhutan Trip with Paro Tsechu festival   
8D7N Itinerary With Druk Path Trek   
7D6N Unforgettable Bhutan Trip   

 Private Trip with Local Travel Experts 
 Fully Customisable Itinerary 
 Flexible Budget
 Save more with Middleman-free prices ",Bhutan
"Can you smell it? Christmas is in the air! It's a season of giving and sharing and Tripviss.com is here to share with you some of the most beautiful Christmas decorations around the world. Wherever you are and whoever you are celebrating this festive season with, we would like to wish you a merry Christmas.",,1647170365552546_1839347286334852,Tripviss,"Can you smell it? Christmas is in the air! It's a season of giving and sharing and   here to share with you some of the most beautiful Christmas decorations around the world. Wherever you are and whoever you are celebrating this festive season with, we would like to wish you a merry Christmas. ",
"The road to Angkor Wat Temple, Cambodia.",,1647170365552546_1835949060008008,Tripviss,"The road to Angkor Wat Temple, Cambodia. ",Cambodia$$Angkor Wat Temple
"Cambodia, a land with centuries of history dating back to the Khmer Empire, is an up-and-coming travel destination. If you wish to escape from your busy and hectic city life, this is the place you should be heading to!

Get our travel experts to plan your personalized private trip to Cambodia for FREE ➔ https://goo.gl/Lsf6ac

Or book a trip now to Cambodia with our handcrafted trips here ➔ https://goo.gl/PEd5HJ",,1647170365552546_1835809776688603,Tripviss,"Cambodia, a land with centuries of history dating back to the Khmer Empire, is an up-and-coming travel destination. If you wish to escape from your busy and hectic city life, this is the place you should be heading to!

Get our travel experts to plan your personalized private trip to Cambodia for FREE   

Or book a trip now to Cambodia with our handcrafted trips here    ",Cambodia
"2017 - a brand new year, a brand new chapter. Say 'hello' to new adventures and fill up your pages with the most colourful experiences. Don't just wait for things to happen in your life; go forth and make them happen!

Share this with someone whom you want to achieve greater things with.",,1647170365552546_1834559436813637,Tripviss,"2017 - a brand new year, a brand new chapter. Say 'hello' to new adventures and fill up your pages with the most colourful experiences. Don't just wait for things to happen in your life; go forth and make them happen!

Share this with someone whom you want to achieve greater things with. ",
"The ultimate guide to Laos that is within everyone's reach. The ""Land of a Million Elephants"" will leave you in awe with its scenic view and wondrous nature. Not to forget its rich culture and renowned heritage sites!

Plan your own travel experience to Laos and our Local Travel Experts will craft your itineraries for FREE – https://goo.gl/6UoPVN

Or check out our ready-to-book trips to Laos with middleman-FREE prices – https://goo.gl/5IYvLE",,1647170365552546_1832541503682097,Tripviss,"The ultimate guide to Laos that is within everyone's reach. The ""Land of a Million Elephants"" will leave you in awe with its scenic view and wondrous nature. Not to forget its rich culture and renowned heritage sites!

Plan your own travel experience to Laos and our Local Travel Experts will craft your itineraries for FREE   

Or check out our ready-to-book trips to Laos with middleman-FREE prices    ",Laos
"Recalling some of the most memorable set locations that you should add to your list of must-visit destinations.

Check out these locations and explore the sets from your favorite dramas yourself.

Get your Korea trip planned by the local travel experts at https://goo.gl/Fe0qX9",,1647170365552546_1830955597174021,Tripviss,"Recalling some of the most memorable set locations that you should add to your list of must-visit destinations.

Check out these locations and explore the sets from your favorite dramas yourself.

Get your Korea trip planned by the local travel experts at   ",Korea
"Don’t assume you will remember all the things you want to from your trip. Write them down and cherish them like they were yesterday.

Start keeping your memories in your travel journal! Collect boarding passes, tickets, menus, beer labels, business cards from places you stay and visit, the list is endless. Pull them out when you get home, cut and paste them into your journal.

#Like our page, let's explore the world with #Tripviss!
#Share & #Tag anyone you would like to travel with!",,1647170365552546_1827555290847385,Tripviss,"Dont assume you will remember all the things you want to from your trip. Write them down and cherish them like they were yesterday.

Start keeping your memories in your travel journal! Collect boarding passes, tickets, menus, beer labels, business cards from places you stay and visit, the list is endless. Pull them out when you get home, cut and paste them into your journal.

#Like our page, let's explore the world with #Tripviss!
#Share & #Tag anyone you would like to travel with! ",
"Waterbom Bali:  No.1️⃣ Water Park in ASIA and number 2 in the WORLD! ⭐️😱😍

Get your perfect Bali trip planned for FREE by our Bali Local Travel Experts at Tripviss.com ➔ https://goo.gl/u3ZWwS 👍
Or checkout our handcrafted ready-to-book itinerary here ➔ https://goo.gl/BQ6Mw6

#Tripviss #YourTravelExperts
#YourTravelYourWay #PersonalizeYourTrip",,1647170365552546_1827098204226427,Tripviss,"Waterbom Bali:    Park in ASIA and number 2 in the WORLD! 

Get your perfect Bali trip planned for FREE by our Bali Local Travel Experts at     
Or checkout our handcrafted ready-to-book itinerary here   

#Tripviss #YourTravelExperts
#YourTravelYourWay #PersonalizeYourTrip ",ASIA$$Bali$$Waterbom Bali
"Bali, of course, needs no introduction. Famed for its blissful surroundings, a visit to Bali will not dampen your spirits! Bali is the perfect place if you are looking forward to lazing around and chilling with a glass of tropical fruit juice in your hand.

Get your Bali trip planned for FREE by the Local Travel Experts at Tripviss.com – https://goo.gl/ynpr8d

Or book now from our ready-made trips to Bali with middleman-FREE prices – https://goo.gl/KVn6Ia

#Tripviss #YourTravelExperts
#YourTravelYourWay #PersonalizeYourTrip",,1647170365552546_1826539007615680,Tripviss,"Bali, of course, needs no introduction. Famed for its blissful surroundings, a visit to Bali will not dampen your spirits! Bali is the perfect place if you are looking forward to lazing around and chilling with a glass of tropical fruit juice in your hand.

Get your Bali trip planned for FREE by the Local Travel Experts at    

Or book now from our ready-made trips to Bali with middleman-FREE prices   

#Tripviss #YourTravelExperts
#YourTravelYourWay #PersonalizeYourTrip ",Bali
"Boracay may be a small island but never judge an island by its size! The numerous activities found on this island will keep you entertained for days. Boracay is definitely the place for all you adventure-seekers and go-getters out there. 

Get your perfect Boracay trip planned for FREE now with Tripviss – https://goo.gl/mVlLs2

Or check out our ready-to-book trips to Boracay filled with these exciting experiences – https://goo.gl/dP8Wuv",,1647170365552546_1824272514508996,Tripviss,"Boracay may be a small island but never judge an island by its size! The numerous activities found on this island will keep you entertained for days. Boracay is definitely the place for all you adventure-seekers and go-getters out there. 

Get your perfect Boracay trip planned for FREE now with Tripviss   

Or check out our ready-to-book trips to Boracay filled with these exciting experiences    ",Boracay
Don't take boring photos with your bestie anymore,,1647170365552546_1823709941231920,Tripviss,Don't take boring photos with your bestie anymore ,
"Let's Go Boracay! The Paradise Island of the Philippines ☀️🐚⛵️

Get your Boracay trip planned by the local travel experts at Tripviss.com.
It's FREE! 👍🏼

#Tripviss #YourTravelExperts
#YourTravelYourWay #PersonalizeYourTrip",,1647170365552546_1823283501274564,Tripviss,"Let's Go Boracay! The Paradise Island of the Philippines 

Get your Boracay trip planned by the local travel experts at  
It's FREE! 

#Tripviss #YourTravelExperts
#YourTravelYourWay #PersonalizeYourTrip ",Philippines$$Boracay
"This video will make you want to go Vietnam now 😍😋😏

Get your Vietnam trip planned by the local travel experts at Tripviss.com.
It's FREE! 👍🏼

#Tripviss #YourTravelExperts #YourTravelYourWay #PersonalizeYourTrip

Positive Rock by HookSounds http://www.hooksounds.com/
Creative Commons — Attribution 4.0 International — CC BY 4.0
https://creativecommons.org/licenses/...
Music provided by Audio Library https://youtu.be/hjUtJG8XSho",,1647170365552546_1821549748114606,Tripviss,"This video will make you want to go Vietnam now 

Get your Vietnam trip planned by the local travel experts at  
It's FREE! 

#Tripviss #YourTravelExperts #YourTravelYourWay #PersonalizeYourTrip

Positive Rock by HookSounds  
Creative Commons  Attribution    CC BY 4.0
 
Music provided by Audio Library   ",Vietnam
"15 places you should visit in Vietnam

Get your trips planned at tripviss.com, It's FREE!",,1647170365552546_1821128084823439,Tripviss,"15 places you should visit in Vietnam

Get your trips planned at   FREE! ",Vietnam
Dare to eat this alive?,,1647170365552546_1820697414866506,Tripviss,Dare to eat this alive? ,
"Special Black Crepe in Thailand! 😱😍😋

#Tripviss
#YourTravelYourWay
#PersonalizeYourTrip",,1647170365552546_1820106834925564,Tripviss,"Special Black Crepe in Thailand! 

#Tripviss
#YourTravelYourWay
#PersonalizeYourTrip ",Thailand
"Have you ever been to Myanmar? If not it's the time to visit now! 

Plan your trip now: http://bit.ly/2fhhQdW
or find ready-to-book trip here: http://bit.ly/2e1LOGG

#Tripviss 
#YourTravelYourWay
#PersonalizedYourOwnMyanmarTrip",,1647170365552546_1817326535203594,Tripviss,"Have you ever been to Myanmar? If not it's the time to visit now! 

Plan your trip now:  
or find ready-to-book trip here:  

#Tripviss 
#YourTravelYourWay
#PersonalizedYourOwnMyanmarTrip ",Myanmar
See the incredible northern light! <3,,1647170365552546_1784699495132965,Tripviss,See the incredible northern light! <3 ,
"Jom!!!

Cartoon Network Amazone Waterpark is the world's first Cartoon Network themed waterpark located at 888 Moo 8, Na Jomtien, Sattahip, Chonburi, Thailand, 15 kilometers away from South Pattaya
#Thailand #Themepark #Family

#Share & #Tag anyone you would like to go on a #Vacation with!
#Like our page to explore the world's hidden gems with Tripviss",,1647170365552546_1777412225861692,Tripviss,"Jom!!!

Cartoon Network Amazone Waterpark is the world's first Cartoon Network themed waterpark located at 888 Moo 8, Na Jomtien, Sattahip, Chonburi, Thailand, 15 kilometers away from South Pattaya
#Thailand #Themepark #Family

#Share & #Tag anyone you would like to go on a #Vacation with!
#Like our page to explore the world's hidden gems with Tripviss ",Sattahip$$Thailand$$Chonburi$$South Pattaya
"Is anyone been to Maya Bay, Island Phi Phi? Do not hesitate to share your experience & tips to other travellers at below comment.

Maya bay is a wonderful bay surrounded by 100-meter high sheer cliffs. By being almost separated from the sea, it looks pretty much like a huge natural swimming pool that almost gives a feeling of privacy. The bay is made up three beaches in the bay, two tiny ones and the main beach, a 200m long stretch of white powdery sand and exceptionally clear water. It is where the movie ""The Beach"" was filmed.

#Share & #Tag anyone you would like to go on a #Vacation with!
#Like our page to explore the world's hidden gems with Tripviss",,1647170365552546_1764621413807440,Tripviss,"Is anyone been to Maya Bay, Island Phi Phi? Do not hesitate to share your experience & tips to other travellers at below comment.

Maya bay is a wonderful bay surrounded by 100-meter high sheer cliffs. By being almost separated from the sea, it looks pretty much like a huge natural swimming pool that almost gives a feeling of privacy. The bay is made up three beaches in the bay, two tiny ones and the main beach, a 200m long stretch of white powdery sand and exceptionally clear water. It is where the movie ""The Beach"" was filmed.

#Share & #Tag anyone you would like to go on a #Vacation with!
#Like our page to explore the world's hidden gems with Tripviss ",Island Phi Phi
Cancun Island located at Mexico is really BEAUTIFUL !! Let's go for a SeaWalk,,1647170365552546_1752436645025917,Tripviss,Cancun Island located at Mexico is really BEAUTIFUL !! Let's go for a SeaWalk ,Mexico$$Cancun Island
"Zoo in Toronto, Canada

It is actually a ground level pool for the polar bears, but it is very deep and you can go down below and see the pool from below through the glass. That is where this photo is taken. Amazing~

#Share & #Tag anyone you would like to go on a #Vacation with!
#Like our page to explore the world's hidden gems with #Tripviss",,1647170365552546_1750304348572480,Tripviss,"Zoo in Toronto, Canada

It is actually a ground level pool for the polar bears, but it is very deep and you can go down below and see the pool from below through the glass. That is where this photo is taken. Amazing~

#Share & #Tag anyone you would like to go on a #Vacation with!
#Like our page to explore the world's hidden gems with #Tripviss ",Canada$$Toronto
"Incredible island in Philippines, anyone?",,1647170365552546_1750302071906041,Tripviss,"Incredible island in Philippines, anyone? ",Philippines
"<3 Travel to the world is the dream of everyone's. Follow #tichalouktarn's footprints to all over the globe... Either man-made or natural, there are many wonderful places in the world... And it's better to see them once than to hear about them a thousand times ❣❣ <3

Credit: Ticha Louktarn",,1647170365552546_1748903625379219,Tripviss,"<3 Travel to the world is the dream of everyone's. Follow #tichalouktarn's footprints to all over the   man-made or natural, there are many wonderful places in the   it's better to see them once than to hear about them a thousand times  <3

Credit: Ticha Louktarn ",
"Welcome to Okinawa Churaumi Aquarium, #Japan

Okinawa's wealth of nature, history and culture can be experienced at Ocean Expo Park, a place where you can even enjoy a dolphin show.

Okinawa Churaumi Aquarium is one of many popular facilities at Ocean Expo Park.

At the Aquarium, an intriguing world of marine life found in Okinawa is spread out before you. A sea of coral dazzled with sunlight exhibits living coral colonies in large scale.
With its enormous capacity, a gigantic tank called The Kuroshio Sea Tank the largest fish in the world, the whale shark, and the world's first successfully bred-in-captivity manta can also be seen. Moreover, you can experience the sea of Okinawa when you journey into the deep sea, which recreates Okinawa's mystery-enshrouded sea.

We hope to see you at Okinawa Churaumi Aquarium, where new encounters and discoveries await each time you visit!

#Share & #Tag anyone you would like to go on a #Vacation with!
#Like our page to explore the world's hidden gems with Tripviss",,1647170365552546_1737524883183760,Tripviss,"Welcome to Okinawa Churaumi Aquarium, #Japan

Okinawa's wealth of nature, history and culture can be experienced at Ocean Expo Park, a place where you can even enjoy a dolphin show.

Okinawa Churaumi Aquarium is one of many popular facilities at Ocean Expo Park.

At the Aquarium, an intriguing world of marine life found in Okinawa is spread out before you. A sea of coral dazzled with sunlight exhibits living coral colonies in large scale.
With its enormous capacity, a gigantic tank called The Kuroshio Sea Tank the largest fish in the world, the whale shark, and the world's first successfully bred-in-captivity manta can also be seen. Moreover, you can experience the sea of Okinawa when you journey into the deep sea, which recreates Okinawa's mystery-enshrouded sea.

We hope to see you at Okinawa Churaumi Aquarium, where new encounters and discoveries await each time you visit!

#Share & #Tag anyone you would like to go on a #Vacation with!
#Like our page to explore the world's hidden gems with Tripviss ",Okinawa$$Okinawa Churaumi Aquarium$$Ocean Expo Park$$Kuroshio Sea Tank
"The Blue Lagoon Oludeniz,  #Turkey

Olu Deniz, a beautiful inland bay that stretches behind the cape, is now closed to yachts. The reason this heavenly place is called Olu deniz (""Sea of the Dead"") is attributed to the following legend;

Once a father and son were caught in a storm here and were in danger of sinking. The son claimed that if they approached the rocks ashore they could take shelter in a cove. The father on the other hand asserted that their ship would be driven onto the rocks and break up and that there were no coves around here anyway. In his terror of running around on the rocks, the father knocked his son (who was at the helm) into the sea with an oar and took over the helm himself. Just as the ship was about to hit the rocks on the cape, she turned into this calm, smooth watered bay. 

This is the reason they say the bay is called the Sea of the Dead, whereas what with the pine clad sandy beach stretched out like a tongue, the name ""Paradise Bay"" would be more fitting.

The Blue Lagoon of Olu deniz has calm, crytal clear waters which makes it ideal for a variety of water sports and a very safe place for children to swim. Part of the lagoon is now a protected area (and it`s a national park).

#Share & #Tag anyone you would like to go on a #Vacation with!
#Like our page to explore the world's hidden gems with Tripviss",,1647170365552546_1734371240165791,Tripviss,"The Blue Lagoon Oludeniz,  #Turkey

Olu Deniz, a beautiful inland bay that stretches behind the cape, is now closed to yachts. The reason this heavenly place is called Olu deniz (""Sea of the Dead"") is attributed to the following legend;

Once a father and son were caught in a storm here and were in danger of sinking. The son claimed that if they approached the rocks ashore they could take shelter in a cove. The father on the other hand asserted that their ship would be driven onto the rocks and break up and that there were no coves around here anyway. In his terror of running around on the rocks, the father knocked his son (who was at the helm) into the sea with an oar and took over the helm himself. Just as the ship was about to hit the rocks on the cape, she turned into this calm, smooth watered bay. 

This is the reason they say the bay is called the Sea of the Dead, whereas what with the pine clad sandy beach stretched out like a tongue, the name ""Paradise Bay"" would be more fitting.

The Blue Lagoon of Olu deniz has calm, crytal clear waters which makes it ideal for a variety of water sports and a very safe place for children to swim. Part of the lagoon is now a protected area (and it`s a national park).

#Share & #Tag anyone you would like to go on a #Vacation with!
#Like our page to explore the world's hidden gems with Tripviss ",
"The Castle Hotel, North East China <3

Would you like to live here?

#Share & #Tag anyone you would like to stay with!
#Like our page to explore the world hidden gems with  #Tripviss",,1647170365552546_1731483930454522,Tripviss,"The Castle Hotel, North East China <3

Would you like to live here?

#Share & #Tag anyone you would like to stay with!
#Like our page to explore the world hidden gems with  #Tripviss ",North East China
"<The Starry Paradise, Taiwan> 

This amazing Starry paradise is made up by 4 millions plastic bottles! A new place for photo shooting at Taiwan. Hurry up to add it to your holiday itinerary!

#Like our page, let's explore the world with #Tripviss!
#Share & #Tag anyone you would like to travel with!

4 millions plastic bottles make mosaic of Starry Night!

A mosaic of Vincent van Gogh’s Starry Night made from recycled plastic bottles is pictured in the Embrace Cultural and Creative Park in Keelung, Taiwan, Dec. 26, 2015. The artist responsible for creating the mosaic, named The Starry Paradise, has received more than 4 million recycled plastic bottles in donations. The project focuses on the concepts of healing and art, while serving as a charity that addresses environmental concerns, according to the park.",,1647170365552546_1724198661183049,Tripviss,"<The Starry Paradise, Taiwan> 

This amazing Starry paradise is made up by 4 millions plastic bottles! A new place for photo shooting at Taiwan. Hurry up to add it to your holiday itinerary!

#Like our page, let's explore the world with #Tripviss!
#Share & #Tag anyone you would like to travel with!

4 millions plastic bottles make mosaic of Starry Night!

A mosaic of Vincent van Goghs Starry Night made from recycled plastic bottles is pictured in the Embrace Cultural and Creative Park in Keelung, Taiwan, Dec. 26, 2015. The artist responsible for creating the mosaic, named The Starry Paradise, has received more than 4 million recycled plastic bottles in donations. The project focuses on the concepts of healing and art, while serving as a charity that addresses environmental concerns, according to the park. ",Creative Park$$Taiwan$$Keelung
"Alaska, northwest of Canada",,1647170365552546_1723888434547405,Tripviss,"Alaska, northwest of Canada ",Canada$$Alaska
"Let's go Redang Island, Terengganu #Malaysia

#Like our page and let's travel to the world!
#Share & #Tag anyone you would like to travel with!

Credit: visittrerengganu",,1647170365552546_1723322367937345,Tripviss,"Let's go Redang Island, Terengganu #Malaysia

#Like our page and let's travel to the world!
#Share & #Tag anyone you would like to travel with!

Credit: visittrerengganu ",Terengganu$$Redang Island
"Chiang Mai baby elephant welcomes tourists with sweet smile, love and cuddle. Awwww.....Cuteness overload! <3

Grab your tour now from as low as RM513 <4D3N Chiangmai & Chiangrai Tour>  - http://bit.ly/1YcTYs4
#Like our page to get more travel ideas, inspirations & deals!
#Share & #Tag anyone you would like to travel with!
Video credit: vasiliatsimerakis

This Chiang Mai baby elephant has a habit of tumbling into helpless tourists and demanding to be snuggled.

A series of cuddling videos featuring little elephant “Nampuu” (or “Fountain”) were posted on Instagram by happy visitors who encountered the playful baby boy in the past month.

Nampuu lives at Patara Elephant Farm in Chiang Mai and is the star attraction of the “Elephant Owner for a Day” package tour designed to let people learn how to take care of elephants. On the tour, they learn about elephant temperament, health, bathing and how to communicate with the pachyderms.

By: Coconuts Bangkok",,1647170365552546_1722129218056660,Tripviss,"Chiang Mai baby elephant welcomes tourists with sweet smile, love and cuddle.   <3

Grab your tour now from as low as RM513 <4D3N Chiangmai & Chiangrai Tour>  -  
#Like our page to get more travel ideas, inspirations & deals!
#Share & #Tag anyone you would like to travel with!
Video credit: vasiliatsimerakis

This Chiang Mai baby elephant has a habit of tumbling into helpless tourists and demanding to be snuggled.

A series of cuddling videos featuring little elephant Nampuu (or Fountain) were posted on Instagram by happy visitors who encountered the playful baby boy in the past month.

Nampuu lives at Patara Elephant Farm in Chiang Mai and is the star attraction of the Elephant Owner for a Day package tour designed to let people learn how to take care of elephants. On the tour, they learn about elephant temperament, health, bathing and how to communicate with the pachyderms.

By: Coconuts Bangkok ",Patara Elephant Farm$$Bangkok
"Anyone travelling to #Pattaya, #Thailand soon? 

Here you may not wish to miss out! <芭堤雅卡通主題水上樂園 - Cartoon Network Amazone>

#Like our page to get more travel ideas, inspirations & deals
#Share & #Tag who you would like to travel with!",,1647170365552546_1712602502342665,Tripviss,"Anyone travelling to #Pattaya, #Thailand soon? 

Here you may not wish to miss out! < - Cartoon Network Amazone>

#Like our page to get more travel ideas, inspirations & deals
#Share & #Tag who you would like to travel with! ",
"The Coral Flyer is the longest in the world at the Tunku Abdul Rahman Marine Park , Sabah . It straddles two islands, Pulau Sapi Gaya Island along 250 meters

#Like our page to get more travel ideas, inspirations and deals!
#Share & #Tag who you would like to eat with!",,1647170365552546_1710481722554743,Tripviss,"The Coral Flyer is the longest in the world at the Tunku Abdul Rahman Marine Park , Sabah . It straddles two islands, Pulau Sapi Gaya Island along 250 meters

#Like our page to get more travel ideas, inspirations and deals!
#Share & #Tag who you would like to eat with! ",Pulau Sapi Gaya Island$$Tunku Abdul Rahman Marine Park
